Polarity,Pfizer,AstraZeneca,Moderna,Unknown
-1.0,0.0007147962830593281,0.00040966816878328555,0.0005173688100517369,0.0011686620724697513
-0.9,0.0002042275094455223,7.229438272646216e-05,0.00022172949002217295,0.00010162278891041316
-0.8,0.0008169100377820892,0.0008675325927175458,0.0026607538802660754,0.0009781193432627266
-0.7,0.0006637394056979476,0.0005542569342362098,0.0019216555801921656,0.0005589253390072724
-0.6,0.0011232513019503727,0.004120779815408343,0.006430155210643016,0.0020134015052875607
-0.5,0.005463085877667722,0.0029881678193604357,0.00376940133037694,0.006580075581949252
-0.4,0.009394465434494027,0.009253680988987156,0.0066518847006651885,0.007774143351646607
-0.3,0.009853977330746451,0.011181531195026146,0.009534368070953437,0.009222268093619994
-0.2,0.03221688961503114,0.028435790539075113,0.025868440502586843,0.024281495125281844
-0.1,0.03272745838864495,0.09764561293587488,0.03939393939393939,0.03814665438724634
0.0,0.415347697334831,0.6314191387329204,0.4636363636363636,0.4028263838165709
0.1,0.10941488818543858,0.05087114731185387,0.13414634146341464,0.08550922544380578
0.2,0.14806494434800369,0.057690917415716796,0.15136733185513673,0.16321255041443045
0.3,0.06540385989992852,0.017254259344048967,0.04434589800443459,0.05160532249356918
0.4,0.054528745021954456,0.021037665373400488,0.04124168514412417,0.028765600685953824
0.5,0.02818339630348208,0.04436465286647227,0.024316334072431632,0.055301851440185464
0.6,0.06622076993771062,0.0058076487456924595,0.022025129342202514,0.033719711645336464
0.7,0.002757071377514551,0.0016868689302841169,0.003621581670362158,0.005576550541458922
0.8,0.010670887368528541,0.0015422801648311926,0.012121212121212121,0.04387563911207088
0.9,0.0013274788113958951,0.0003614719136323108,0.0021433850702143385,0.0005525739147003715
1.0,0.004901460226692535,0.012434633828951491,0.0040650406504065045,0.03822922290323605
